,unlevered_ret,static_ret,static_equity,dyn_leverage,dyn_ret,dyn_equity,dyn_peak_equity,dyn_target_notional,dyn_notional_held,dyn_notional_capped,dyn_drawdown
2021-05-05,0.000649631888909985,0.01948895666729955,3704276.8129356704,37.984098877260436,0.024675681902178337,3891390.3383188397,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.19070686509116253
2021-05-06,0.0006527225155830152,0.019581675467490456,3776812.759328327,37.06938648797428,0.024196023199549603,3985546.509223305,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.17112518962367218
2021-05-07,0.0003982875021313337,0.01194862506394001,3821940.4789262456,36.19364423244968,0.014415476154372534,4043000.059889156,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.15917656455973228
2021-05-10,0.00267966753354254,0.0803900260062762,4129186.3734215666,35.679309990083176,0.0956086885996259,4429545.9936233675,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.07878653855345596
2021-05-11,-0.003978801814869315,-0.11936405444607945,3636309.946326466,32.565742095097285,-0.12957263375053912,3855598.0529104387,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.19815059299953552
2021-05-12,0.0012779929201087725,0.038339787603263176,3775725.297328255,37.41350899319505,0.047814199609729165,4039950.3878271817,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.15981080539627224
2021-05-13,0.003274505669999428,0.09823517009998284,4146634.314162105,35.70624353738493,0.11692029691754738,4512302.586704097,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.0615756352962894
2021-05-14,-0.001332127236088998,-0.03996381708266994,3980918.978922208,31.96847943038214,-0.04258608214556294,4320141.29808108,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.10153945237895923
2021-05-17,-5.084827116885737e-05,-0.0015254481350657212,3974846.2934899633,33.39044778252592,-0.0016978465432954503,4312806.361111586,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.10306490051402484
2021-05-18,-0.0006899448273851583,-0.02069834482155475,3892573.5542946295,33.447236056647476,-0.023076747507614286,4213280.817666981,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.12376324533557959
2021-05-19,-0.0009322519883556701,-0.027967559650670104,3783707.771220274,34.23732209394634,-0.03191781159805499,4078802.114318988,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.15173080498624958
2021-05-20,4.087500369798214e-05,0.0012262501109394641,3788347.543294495,35.366131619943715,0.0014455907607485224,4084698.3929703687,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.15050455487531011
2021-05-21,0.003045044449718093,0.09135133349154279,4134418.1431038575,35.31508046590711,0.10753598976405829,4523950.477546095,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.05915322138376755
2021-05-24,0.003747188696601844,0.11241566089805533,4599191.491089788,31.886169652536886,0.11948349449991497,5064487.889547862,5064487.889547862,144251452.42671004,144251452.42671004,False,0.0
2021-05-25,2.430083191140575e-05,0.0007290249573421725,4602544.416470389,30.000000000000004,0.0007290249573421726,5068180.0276155,5068180.0276155,151934636.68643588,151934636.68643588,False,0.0
2021-05-26,0.0038631265052710972,0.11589379515813292,5135950.756279017,30.0,0.11589379515813292,5655550.64556051,5655550.64556051,152045400.82846498,152045400.82846498,False,0.0
2021-05-27,0.0006606968845741523,0.01982090653722457,5237749.956199012,30.000000000000004,0.019820906537224573,5767648.786322705,5767648.786322705,169666519.36681533,169666519.36681533,False,0.0
2021-05-28,0.003603824315621784,0.10811472946865353,5804027.8757379195,29.999999999999996,0.10811472946865351,6391216.574526193,6391216.574526193,173029463.58968115,173029463.58968115,False,0.0
