,unlevered_ret,static_ret,static_equity,dyn_leverage,dyn_ret,dyn_equity,dyn_peak_equity,dyn_target_notional,dyn_notional_held,dyn_notional_capped,dyn_drawdown
2026-04-02,0.001789904334972503,0.0626466517240376,31109152.115436528,38.42138829158994,0.06877060945877861,34718966.01913453,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.026402402558544202
2026-04-03,0.0011016388561075896,0.038557359963765636,32308638.891718954,35.94914376532714,0.03960297361568228,36093940.314354084,36093940.314354084,1248117100.805375,1248117100.805375,False,0.0
2026-04-06,-0.0030493875922413816,-0.10672856572844835,28860384.202167425,35.0,-0.10672856572844835,32241685.83311485,36093940.314354084,1263287911.002393,1263287911.002393,False,-0.10672856572844835
2026-04-07,0.0017226128830274412,0.06029145090596044,30600418.63941956,39.18181938566292,0.06749510685419728,34417841.8635804,36093940.314354084,1263287911.002393,1263287911.002393,False,-0.04643711482248791
2026-04-08,0.00645477612606471,0.22591716441226484,37513578.44826544,36.70444869871851,0.23691899918085513,42572082.511864804,42572082.511864804,1263287911.002393,1263287911.002393,False,0.0
2026-04-09,0.0006158372260298695,0.02155430291104543,38322157.48141662,35.0,0.02155430291104543,43489694.073879555,43489694.073879555,1490022887.9152682,1490022887.9152682,False,0.0
2026-04-10,0.000519623386862289,0.018186818540180116,39019115.605599344,35.0,0.018186818540180116,44280633.24836915,44280633.24836915,1522139292.5857844,1522139292.5857844,False,0.0
2026-04-13,0.0025430436719362515,0.0890065285177688,42492071.63148724,35.0,0.0890065285177688,48221898.69437498,48221898.69437498,1549822163.6929202,1549822163.6929202,False,0.0
2026-04-14,0.003857897111678721,0.13502639890875523,48229623.04605983,35.0,0.13502639890875523,54733128.023619235,54733128.023619235,1687766454.3031242,1687766454.3031242,False,0.0
2026-04-15,-0.0017187470439299357,-0.06015614653754775,45328314.77465037,35.0,-0.06015614653754775,51440593.95377204,54733128.023619235,1915659480.8266733,1915659480.8266733,False,-0.06015614653754764
2026-04-16,-0.0002155861996406827,-0.007545516987423895,44986289.20550695,37.24022865187391,-0.008028479368807562,51027604.20649497,54733128.023619235,1915659480.8266733,1915659480.8266735,False,-0.06770166352497153
2026-04-17,-0.002876519245818554,-0.10067817360364939,40457151.77109095,37.54163086071051,-0.10798922369024956,45517172.84146227,54733128.023619235,1915659480.8266733,1915659480.8266733,False,-0.16837983712862092
2026-04-20,-0.003053843246963339,-0.10688451364371687,36132908.780627854,42.08652166291116,-0.12852563996845753,39667049.07245844,54733128.023619235,1915659480.8266733,1915659480.8266733,False,-0.2752643507723378
